Gone to Earth,"of faery.

They arrived breathless and panting in the graveyard, where the tombstones seemed to elbow each other outside the shining windows, looking into this cave of",saffron,"light and rosy joy as sardonically as if they knew that those within its shelter would soon be without, shelterless in the storm of death; that those who",82612,82619,Flora
Gone to Earth,"the flower.

For as yet spring had no flight, no song, but went like a half-fledged bird, hopping tentatively through the undergrowth. The bright springing",mercury,"that carpeted the open spaces had only just hung out its pale flowers, and honeysuckle leaves were still tongues of green fire. Between the larch boles and under",932,939,Flora
Gone to Earth,"like one that watches, rapt, for the sunrise. Only the sun stayed beneath the horizon. He called Hazel in his mind by the country name for",wood-sorrel,"-- the Sleeping Beauty. He left her to sleep as long as she would. He kept a hand on himself, and never tried to waken her",281692,281703,Flora
Gone to Earth,"wherever he went, and before his footsteps weakness fled and beauty folded.

The sky blossomed in parterres of roses, frailer and brighter than the rose of the",briar,", and melted beneath them into lagoons greener and paler than the veins of a young beech-leaf. The fairy hedges were so high, so flushed with beauty,",257625,257630,Flora
Gone to Earth,"while he snored, she tossed in her sleep and moaned.

Chapter 27

Early next morning Vessons was calling the cows in for milking. He leant over the",lichen-green,"gate contemplatively.

All the colours were so bright that they were grotesque and startling. Above the violently green fields the sky shone like blue glass, and across",328831,328843,Flora
Gone to Earth,"the wood, where the tiny golden tormentil made a carpet and the yellow pimpernel was closing her eager eyes.

Hazel came out on the bare hill-top where gnarled",may-trees,", dropping spent blossom, were pink-tinted as if the colours of the sunsets they had known had run into their whiteness. Hazel sat down on the hilltop and",299477,299486,Flora
Gone to Earth,"and derided.

Chapter 12

They went gallantly, if slowly, on through narrow ways, lit on either side by the breath-taking freshness of new hawthorn leaves.",Primroses,", wet and tall, crisply pink of stalk and huge of leaf, eyed them, as Madonnas might, from niches in the isles of grass and weed",147719,147728,Flora
Gone to Earth,"enjoyably at their lustrous beauty as the world does at a poet's heart. In the kitchen-garden also the hens took their ease, banqueting sparely beneath the straggling black",boughs,"of a red-currant grove. In the sandstone walls of this garden hornets built undisturbed, and the thyme and lavender borders had grown into forests and obliterated the path",31971,31977,Flora
Gone to Earth,", covered with crystal buds that shone like rain among the bright green leaves. From every pear-tree -- full-blossomed, dropping petals -- and from every shell-pink",apple-tree,"came the roar of the bees.

Abel rose very early, for he considered it the proper thing to make a wreath for Hazel, being an artist in",202423,202433,Flora
Gone to Earth,"in chaos.

When she came to the graveyard, havoc was there also. Several crosses had fallen, and were smashed; the laburnum-tree, rich with grey",seed-vessels,", lay prone, and in its fall it had carried half the tomb away with it, so that it yawned darkly, but not as a grave from",415545,415557,Flora
Gone to Earth,"happy, for the deep law of her being was now fulfilled in thus returning to Reddin. He, for his part, liked to see her about.",Roses,"appeared in the rooms; it was strange to him, who had never had a woman in his house, to find his bedroom scented with flowers. He",388045,388050,Flora
Gone to Earth,"pale galleries within. Today the eighteen hives lay under their winter covering, and the eager creatures within slept. Only one or two strayed sometimes to the early",arabis,", desultory and sad, driven home again by the frosty air to await the purple times of honey. The happiest days of Abel's life were those when he",14208,14214,Flora
Gone to Earth,"so very poor. And Hazel was merely passive.

So they stood and wept above her, and they foreswore her company for ever. She might regard the",primrose,"eye to eye, but she would receive no dewy look of comprehension.

No lift of the heart would come with the lifting leaves, no pang of mysterious",327477,327485,Flora
Gone to Earth,"that he could not rest, but got up and went out into the lively air, and saw the sun come lingeringly through aery meadows of pale green and",primrose,". He saw the ice slip from the bright pointed lilac buds, and sheep browsing the frosty grass, and going to and fro in the unreserved way that",111790,111798,Flora
Gone to Earth,"haunts of men. But from this, after one paralysed moment, she fled in panic. So she never knew that her second sign was only a rotten","tree,","shining with the phosphorescence of corruption.

Next morning she asked Edward:

'Could folks see angels now?'

'Yes, if it was God's will.",286497,286502,Flora
Gone to Earth,"me out.'

'Come outside, then, and I'll get you a cup of tea.'

He fetched it and sat down by her on an",orange,"-box.

'Now look here,' he said, 'fair and square, will you marry me?'

He was surprised at himself.

Andrew Vessons,",185143,185149,Flora
Gone to Earth,"necessity, and because he was quite indifferent to Reddin's welfare and Reddin to his.

But to Undern itself he was not indifferent. Ties deep as the tangled",roots,"of the bindweed, strong as the great hawsers of the beeches that reached below the mud of Undern Pool, held him to it, the bondslave of a",37510,37515,Flora
Gone to Earth,"; and when he shook the apples down with a kind of sour humour, as if to say, 'There! that's what you trees get by having",apples,"!' -- at all these times he seemed less an individual than a blind force. For though his personality was strong, that of the place was",38001,38007,Flora
Gone to Earth,"well to carry it off as a jest? So his hat came off with a flourish, and he said jocosely as he took the next heap, 'Keeping-",apples,", Mr. James. I'll put it in me pocket!'

This attitude wearing thin, he took refuge in that of unimpeachable honesty. 'Fair and",176768,176774,Flora
Gone to Earth,"earthing up; when he scythed the lawn, looking, with a rose in his hat, weirder and more ridiculous than ever; and when he shook the",apples,"down with a kind of sour humour, as if to say, 'There! that's what you trees get by having apples!' -- at all",37903,37909,Flora
Gone to Earth,". 'Fair and square! The best man wins!' This lasted for some time, but was not proof against 'Swedes, Mr. James.",Mangolds,", Mr. James. Stewing pears, Mr. James.' He began to get in a panic. His bow was cursory. He pocketed the money",177005,177013,Flora
Gone to Earth,"days shrivelled. All she knew was that, now she lived at Undern, she never went out in the green dawn or came home wreathed in pansy and",wild snapdragon,".

Reddin had imposed a deeper change on her than the change from maid to wife. He had robbed her of a thing frailer and rarer than maidenhood -",409396,409411,Flora
Gone to Earth,"way through the resinous fragrance of larch-woods.

The cream-coloured pony was lame, which gave the cart a peculiar roll, and she was tormented with hunger for the",marigolds,", which hung down near her nose and caused her to get her head into strange contortions in the effort to reach them. The wind sighed in the tall",206893,206902,Flora
Gone to Earth,"suitable in Edward's bride.

At last the cart appeared, coming up the hill with the peculiar lurching deportment of market carts. The pony had a bunch of",marigolds,"on each ear, and there was lilac on the whip. They packed the animals in -- the cat giving ventriloquial mews from her basket, the rabbit",206384,206393,Flora
Gone to Earth,"Primroses, wet and tall, crisply pink of stalk and huge of leaf, eyed them, as Madonnas might, from niches in the isles of grass and",weed,".

Carts had to back into gates to let them go by, and when they came into the main road horses reared and had to be led past.",147852,147856,Flora
Gone to Earth,", afore that bird notices, or I shall never get away.'

The bird sat in preoccupied silence. He was probably thinking of the woods and seeded",dandelions,". He was of the fellowship to which comfort means little and freedom much. So was Hazel.

'Lock the door!' Vessons said in a sepulchral",53146,53156,Flora
Gone to Earth,"She found a little shelter in the deep lanes, but when she came to the woods leading up to the Mountain the wind was reaping them like corn.",Larches,"lay like spellicans one on another. Some leant against those that were yet standing, and in the tops of these last there was a roaring like an incoming",415103,415110,Flora
Gone to Earth,"the grey-silver feathers of the trees, lived their great moments of creation and receptivity until suddenly there was a sharp noise of hoofs, the song snapped, the",willow,"was untenanted, and Reddin's horse splashed through the ford.

'Oh!' cried Hazel, 'what for did you break the song? A sacred bird",261439,261445,Flora
Gone to Earth,"self-poised as a sun.

At last supper was set out, the cloths going in terraces according to the various heights of the tables; the tea-sets --",willow,"and Coalport, the feather pattern, and the seaweed -- looking like a china-shop; the urn, now rakishly dinted, presiding. People paid for their",81623,81629,Flora
Gone to Earth,"The lady! That's me!' she thought.)

'No, sir, I anna. Nor yet I anna got no myrrh, aloes, nor",cassher,". There's nought in my kitchen but a wold useless cat and an o'erdruv man of six-and-sixty, a pot of victuals not yet simmering, and a gentleman as",42109,42116,Flora
Gone to Earth,"heavy trees; the golden day-lilies drooped like the daughters of pleasure; the very principle of life seemed to slumber. It was then, when the scent of",elder blossom,", decaying fruit, mud and hot yew brooded there, that the place attained one of its most individual moods -- narcotic, aphrodisiac.

In winter the",32351,32364,Flora
Gone to Earth,"her.

She found a little shelter in the deep lanes, but when she came to the woods leading up to the Mountain the wind was reaping them like",corn,". Larches lay like spellicans one on another. Some leant against those that were yet standing, and in the tops of these last there was a roaring like",415097,415101,Flora
Gone to Earth,"live; I ud liefer bide along of you.'

She went through the shadow-sweet meadows where birds hopped out across green stretches in the cool, the high",corn,"that had once been her comrade, the honeysuckle hedges that used to bring so childish a glee. They wore an air of things estranged and critical. All",382955,382959,Flora
Gone to Earth,"multitude crept along the passages in their wake.

'Be there ghosses?' she whispered. 'I'd liefer sleep under the blue roof-tree. I feel like",corn,"under a millstone in this dark place.'

'It's said to be haunted, but I don't believe it.' He glanced over his shoulder.

'",313538,313542,Flora
Gone to Earth,"of precipitous places. He would have to go round to reach her. He spurred his horse, risking a fall from the rabbit-holes and the great ropes of",honeysuckle,"that swung from tree to tree.

Hazel ran to and fro, frantically calling to Foxy.

Suddenly the sound, that had been querulous, interrogative and various",456058,456069,Flora
Gone to Earth,", from a grey ash-bole or a blood-red pine-trunk, might come the naked spirit of life with a face fierce or lovely. Coiled in the twist of long",honeysuckle,"ropes that fell from the dead yews; curled in a last year's leaf; embattled in a mailed fir-cone, or resting starrily in the green moss, it",226865,226876,Flora
Gone to Earth,"open spaces had only just hung out its pale flowers, and honeysuckle leaves were still tongues of green fire. Between the larch boles and under the thickets of",honeysuckle,"and blackberry came a tawny silent form, wearing with the calm dignity of woodland creatures a beauty of eye and limb, a brilliance of tint, that few-women",1118,1129,Flora
Gone to Earth,".'

She went through the shadow-sweet meadows where birds hopped out across green stretches in the cool, the high corn that had once been her comrade, the",honeysuckle,"hedges that used to bring so childish a glee. They wore an air of things estranged and critical. All was so sad, like a dear friend with",382996,383007,Flora
Gone to Earth,"like a half-fledged bird, hopping tentatively through the undergrowth. The bright springing mercury that carpeted the open spaces had only just hung out its pale flowers, and",honeysuckle,"leaves were still tongues of green fire. Between the larch boles and under the thickets of honeysuckle and blackberry came a tawny silent form, wearing with the calm",1015,1026,Flora
Gone to Earth,"clean as the Lord's Supper, no less mysterious, equally incidental to human needs. In her eyes nothing could be more magical and holy than silken, pink-lined",mushrooms,"placed for her in the meadows overnight by the fairies, or by someone greater and more powerful called God.

As she went down the mountain it seemed that",253861,253870,Flora
Gone to Earth,"heartfelt tone.

Chapter 21

Hazel was up early next morning. She could not sleep, and thought she would go down into the valley and look for spring",mushrooms,".

She crept out of the house, still as death, except for Mrs. Marston's soft yet all-pervading snores. Out in the graveyard, where as yet",251879,251888,Flora
Gone to Earth,"her petticoats up later on. She also had the little bag in which Edward was accustomed to take the Lord's Supper to a distant chapel. To her,",mushrooms,"were as clean as the Lord's Supper, no less mysterious, equally incidental to human needs. In her eyes nothing could be more magical and holy than silken",253685,253694,Flora
Gone to Earth,"perhaps. He ought to wait. But that vow! That foolish, childish vow!

'I could look after her. She could blossom here like a",violet,"in a quiet garden.'

Giving was never too early.

'And I am asking nothing -- not for years. She shall live her own life",112535,112541,Flora
Gone to Earth,"sad cadence suited her emotional tone, and the ideas of loss and exile expressed her vague mistrust of the world. Edward imagined her in her blue-green dress and",violet,"crown playing on a large glass harp in a company of angels.

'Poor child!' he thought. 'Is it mystical longing or a sense of",86564,86570,Flora
Gone to Earth,"gingerly -- tiles being cold to pink feet on a frosty morning -- up and down in the early sun!

Edward so much wanted to keep the",violet,"he had found that he decided he ought to give it to his mother. So he put it on her plate, and looked for a suitable passage to",114407,114413,Flora
Gone to Earth,"imposed on them. He saw, yet noticed nothing, until a long scarlet bar of cloud reminded him of Hazel by its vividness, and he found a",violet,"by the graveyard gate.

'Little Hazel!' he whispered. He pondered on the future, and tried to imagine such an early walk as this with",112149,112155,Flora
Gone to Earth,"I'm not thankful.'

'Mother,' Edward said, when the last unruly guest had disappeared in the wild April night, and Hazel's vivid presence and",violet,"fragrance and young laughter had been taken by the darkness, 'I've asked Hazel Woodus to tea on Wednesday.'

'She is not of your class,",95325,95331,Flora
Gone to Earth,"duck's frost to-night.'

Abel looked up absently, humming the air he intended to play next.

'I bin in the Callow, and I've gotten a",primmyrose,",' continued Hazel, accustomed to his ways, and not discouraged. 'And I got a bit of blackthorn, white as a lady.'

Abel",7261,7271,Flora
Gone to Earth,"have that!' said Reddin, and stopped, having blundered into symbolism, and not knowing where he was. Hazel was silent also, playing with a",foxglove flower,".

'What are you up to?' he asked.

She was glad of something to talk about.

'Look! When you get 'un agen",269361,269376,Flora
Gone to Earth,"best man wins!' This lasted for some time, but was not proof against 'Swedes, Mr. James. Mangolds, Mr. James. Stewing",pears,", Mr. James.' He began to get in a panic. His bow was cursory. He pocketed the money furtively and read his name in a",177034,177039,Flora
Gone to Earth,"most beautiful and the most helpless, does He ever sigh and weep, as we do when we see a dead child or a moth's wing impaled on a",thorn,"?

Our heavy burden is that we cannot know. For all our tears and prayers and weary dreaming, we cannot know.

Edward lay awake all night,",110506,110511,Flora
Gone to Earth,", but very tireless, on matters deeper than the Coppice Pool far below, deep as the mystery of the chipped, freckled eggs in his nest in the",thorn,". In and out of the yellow broom-coverts woodlarks played, made their small flights, and sang their small songs. Bright orange wild bees and black bumblebees floated",242165,242170,Flora
Gone to Earth,", in her appointment with Reddin.

She met no one as she ran down the batch, for the chapel-goers were all inside. The hedges were full of",white 'archangel',"and purple vetch. When she came to the beginning of Hunter's Spinney she felt frightened; the woods were so far-reaching, so deep with shadow; the trees",298316,298333,Flora
Gone to Earth,"going to rouse it!'

He smiled again as he always did when breaking horses.

He got up suddenly and went out. Mrs. Marston, administering",raspberry,"cordial in the parlour, heard him knock, and went to the front door.

'Can I help?' he asked in his pleasantest manner. '",245245,245254,Flora
